s,p,o
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Petroleum products
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion4,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Shinto
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Indian rupee
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language4,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Japanese
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Rulers,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Rulers,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Person
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#SouthKorea,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#SouthKorea,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Country
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP8,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"25,976.95 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government6,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Totalitarianism
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#TypeOfGov,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
